评论者id,简介,学校id,类型,最高学历,关注数,粉丝数,贴子数,回复数,评论数,学习时长
1467511398,,,1,,0,0,0,4,0,2342
1445086950,你说黄昏似酒，道不尽挽留。,,1,5,0,0,1,15,0,3478
1476747455,,,1,0,0,0,1,12,0,1049
1473436835,,,1,5,0,0,0,29,0,505
1387899419,,,2,0,0,0,3,151,0,9086
1415399150,,,1,5,0,0,0,31,0,1778
1446472508,,,1,,0,0,0,14,0,1845
1446358402,,,1,4,0,0,0,32,0,123
1452499847,愿每一个家庭都是幸福的！,,2,0,0,0,0,37,0,9035
1142638596,,,2,0,0,0,0,15,0,4309
1477673290,,,1,3,0,0,0,20,0,773
1467976889,,,2,,0,0,0,101,0,1350
1453074131,,,1,0,0,0,0,25,0,7715
1473002842,不愿枉过此生。,,2,0,0,0,4,23,1,2372
1144672772,,,1,5,0,0,0,5,0,1119
1149909200,,,1,5,1,1,2,180,2,5738
1436847292,,,1,0,0,0,1,71,0,3887
1474705561,,,1,,1,0,0,1,0,530
1149371741,,,2,0,0,0,0,2,0,667
1476366679,好好学习努力工作,,3,0,0,0,2,24,0,575
1468255680,,,1,0,0,0,1,50,0,10423
1390188515,,,2,4,0,0,0,30,0,2001
1421829993,,,1,4,1,0,1,20,0,4925
1446064337,,,2,0,0,0,0,16,0,2515
2077615,,,1,0,0,2,12,835,32,44050
1406942086,,,1,5,0,0,0,1,0,3957
1469381657,,,2,0,0,0,0,15,0,7917
1477426364,,,1,3,0,0,0,18,0,596
1144112793,,,1,5,1,0,0,21,0,5086
1420312711,,,2,0,0,0,6,17,0,3112
1469166996,,,1,3,0,0,0,38,0,221
1424848075,,,1,5,0,0,0,209,0,13973
1441693670,,,2,0,0,0,0,57,0,102
1467896633,,,4,,0,0,1,14,0,2609
1396134997,,,2,,0,0,2,48,1,3951
1477431842,本人性格比较文静，热爱体育和志愿活动，诚实有爱心，踏实稳重，责任心强，为人真诚和善，吃苦耐劳，乐于学习，有良好的团队协作精神。,,3,0,0,0,1,38,0,12051
1446914661,,,1,5,1,0,0,0,0,3387
1474584648,,,1,3,1,0,0,22,0,2285
1387518981,,,1,5,0,0,1,189,9,1539
1475568763,,,2,0,0,0,0,12,0,514
1030633668,既然选择了远方，便只顾风雨兼程！,,3,0,2,0,6,292,0,6772
1463268446,,,1,4,0,0,1,2,0,3385
1151438064,,,2,0,0,0,0,0,0,5691
1477238920,医者自救,,1,4,0,0,2,42,0,1604
1014969085,我相信学习一定能改变命运,,2,,0,0,0,18,0,681
1460301465,,,3,,0,0,0,5,0,1931
1384628636,,,2,5,0,0,1,13,0,631
1141616025,,,2,0,0,0,1,100,0,4594
1473517828,,,1,0,2,0,0,8,0,2744
1125273,方丽,,3,0,0,0,1,326,0,30810
1148474744,,,1,4,0,0,1,54,1,422
1468739205,,,2,,0,0,0,30,0,5314
1025900824,,,2,0,0,0,15,285,2,4110
1406852273,,,1,,0,0,0,1,0,750
1424625898,,,2,0,0,0,1,117,0,1927
1409410503,,,2,0,0,0,0,18,0,5170
1474052966,,,2,0,0,0,2,29,0,2204
1469347592,,,1,,0,0,0,1,0,1668
1452551257,,,,,0,0,5,92,0,4406
1476148067,,,2,0,1,0,0,32,0,18765
1430027343,,,1,5,0,0,0,20,0,2236
1397154828,,,1,5,1,0,0,26,0,6650
1142745261,,,2,0,0,2,2,149,4,9291
1477118792,,,1,0,1,0,0,12,0,627
1472921732,,,3,0,0,0,0,10,0,3534
1463208570,,,1,5,0,0,5,19,0,1163
1473603991,,,1,,0,0,1,0,0,471
1146934494,,,1,0,0,0,8,62,0,9534
1418305482,,,1,5,0,1,0,103,0,6488
1387455440,,,2,,0,0,4,57,10,3520
1147849531,,,2,0,0,0,0,240,0,30781
2767929,,,2,,1,0,12,283,7,5794
1441377099,,,1,6,0,0,0,11,0,1482
1443691232,宋志芹，女，身份证号41078119710223046X，在职教师，在河南省卫辉市李源屯镇中心学校任教，小学数学专业。,,2,0,0,0,0,16,1,2707
1395847070,,,1,5,0,0,1,2,0,26531
1473644882,希望学到更多。,,1,5,3,0,5,39,0,8777
1473276301,,,3,0,0,0,2,40,0,12601
5874008,爱流汗，爱运动。,,2,0,1,0,5,80,0,6858
1466219044,,,1,5,0,0,0,0,0,198
1459822628,樱花落下需要三秒钟，认识一个人要半年，喜欢一个人要一句话，忘掉一个人要一辈子！！！,,1,4,0,0,12,46,1,918
1448343242,,,2,,0,0,0,60,1,1582
1462205089,,,2,5,0,0,0,15,0,1020
1472597998,,,1,0,1,0,3,125,0,12061
1015564031,,,2,6,2,0,0,33,0,4909
1410373948,,,1,4,1,0,0,16,0,1887
1435377398,,,2,0,0,0,0,19,0,3575
1469005074,,,2,0,0,0,0,30,0,963
1464597168,,,3,0,0,0,0,45,0,6095
1024757178,,,1,,0,0,0,0,0,3598
1453580371,,,1,5,0,0,0,110,0,5648
1411289379,,,1,3,0,0,1,0,0,6494
1142408140,,,2,0,0,0,15,134,2,5213
1428882748,,,2,0,0,1,0,33,0,1541
1420881859,,,2,0,0,0,6,192,0,6223
1441282280,未来可期,,3,,0,0,3,100,0,1744
1410620096,,,2,0,0,0,0,8,0,3491
1440269061,,,1,0,0,0,0,2,0,11945
1426481406,樊文丽,,2,0,0,0,0,116,0,5720
1140102164,,,2,,0,0,0,0,0,4875
1473298740,,,2,0,0,0,0,14,0,577
1472007892,,,2,0,0,0,0,27,0,3394
1147577808,,,2,0,0,0,0,80,0,2495
1476313490,,,1,5,0,0,0,26,0,2427
1028569523,,,3,0,1,0,0,91,0,11506
1396837890,河南省新乡县新乡经济开发区王屯学校,,2,0,0,0,0,79,0,10781
1446333600,,,1,4,0,0,6,51,0,10492
1431000899,,,2,0,2,0,0,76,0,8019
1476321374,,,1,,0,0,0,22,0,4581
1470901331,,,2,0,0,0,0,0,0,52
1476136936,,,2,0,0,0,0,9,0,3881
1418864158,,,3,0,0,0,0,4,0,948
1469273288,,,3,6,6,3,6,62,10,8639
1144669156,,,2,0,0,0,1,331,0,3417
1472791881,学如逆水行舟，不进则退,,2,0,2,0,19,80,9,5026
1396139973,高中数学老师。一直选择学习。,,2,,0,0,0,13,0,699
1141652841,河南省辉县市上八里镇回龙小学,,2,0,0,1,22,130,8,8508
1396899906,,,1,5,0,0,0,26,0,17660
1474387824,母婴培训,,2,0,44,3,14,54,0,10477
1474902673,,,2,0,0,0,0,0,0,12
1475701093,,,2,0,0,0,0,1,0,26
1446871723,2010-今 事业单位人员,,2,0,0,0,0,78,0,4168
1450179725,,,1,,0,0,2,21,0,4560
1409476255,,,1,5,0,0,0,13,3,6490
1423510231,,,2,,0,0,1,35,0,1342
1464823750,每天进步一点点,,3,0,0,0,2,50,0,11653
1390860531,,,2,,0,0,0,12,0,597
1475500664,,,2,,0,0,0,10,0,512
1475516857,"1995.8---2019.8  新乡市第二十三中学    任教

2019.5----至今     凤泉区实验学校",,2,0,0,1,0,59,0,2096
1444985022,,,1,3,0,0,0,0,0,4048
1420145794,2017年9月至今 在新乡市铁路高级中学 教师,,2,7,0,0,7,111,0,8651
1471166777,,,2,0,0,0,0,22,0,834
1475238470,,,1,0,0,0,0,0,0,38
1422289432,在职教师,,2,,0,0,0,47,6,6723
1455929545,,,2,0,0,0,2,19,0,8265
1475090874,,,1,5,0,0,0,5,0,3471
1473519181,,,2,0,0,0,0,13,0,1816
1421894243,,,2,,0,0,0,38,1,1697
1473607403,,,1,4,1,0,6,117,1,70
5467127,,,1,,0,0,13,591,25,13690
1141832101,,,1,0,0,0,1,196,1,6118
1149888519,,,2,,0,0,0,17,0,3807
2074178,闲来无事，来学习学习。,,1,0,2,0,0,0,0,12351
1138891494,"生活不是眼前的苟且，
还有文学、书画、音乐和远方！",,1,4,7,1,25,202,9,20947
1147417737,,,2,,0,0,1,155,5,3023
1422737322,,,1,5,0,0,0,61,0,2531
1473535242,刚从大学毕业进入到湖南羊驼科技公司担任辅导老师。,,2,,0,0,0,19,0,655
1463399895,,,2,0,0,0,0,10,0,293
1471955092,,,2,0,0,0,0,11,0,2196
1444688360,执业律师,,2,,0,0,0,32,3,6672
1474240356,,,3,0,0,0,0,31,0,2049
1150178040,,,1,0,0,0,0,15,1,696
1460841073,,,1,,0,0,1,47,0,2056
1468540950,<p>1972.10--1978.08 &nbsp; 童年时期</p><p>1978.09--1991.07 &nbsp; 中小学时期</p><p>1991.09--1995.06 &nbsp; 大学时期</p><p>1995.07--至今 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 在现单位工作</p>,,,,4,0,5,49,0,7609
1474323340,,,1,6,0,0,1,145,0,5237
1396867030,,,3,,0,0,0,14,0,3842
1388310478,,,1,0,3,0,0,10,0,3744
1474087098,,,1,0,0,1,2,0,0,0
1473090589,,,1,0,0,0,0,0,0,281
1146549806,,,1,0,0,0,0,42,0,6983
1401838944,,,1,,0,0,0,0,0,29122
1473448446,,,1,,0,0,0,2,0,467
1473442564,,,1,5,0,0,0,16,0,4139
1442157957,,,3,0,0,0,0,0,0,0
1471279822,,,1,,0,0,0,1,0,286
1023469674,,,1,5,0,0,0,31,0,3474
1473634906,,,1,5,0,0,0,32,0,1533
1411696002,,,2,,0,0,0,18,0,4332
1470874998,,,1,0,0,0,5,39,0,1
1141933215,,,2,0,0,0,0,400,1,7489
1414559000,,,1,0,0,0,5,18,0,1711
1426379928,,,2,0,1,0,0,3,0,1922
1473306253,,,1,4,3,1,1,16,0,982
1435251363,,,2,,0,0,0,96,0,2525
1406015911,,,1,0,0,0,0,0,0,362
1030312094,,,2,0,0,0,0,16,0,4818
1026382651,,,2,0,0,0,0,0,0,2903
1472710816,,,2,,0,0,0,67,0,547
1420754558,出生于1979年，毕业于1999年，一直从事小学语文教学。,,2,0,0,0,0,214,0,2133
1029354484,你即你所为！,,1,5,3,0,0,19,0,4411
1472478609,,,1,0,0,0,0,2,0,144
1455584859,努力,,1,0,0,0,1,27,0,1142
1472226384,,,1,,0,0,0,0,0,0
1459705345,卢秀娟,,2,0,2,0,3,118,0,8213
1470684626,,,1,,0,0,0,0,0,310
1449776203,,,2,0,0,1,2,51,0,9659
1435460611,,,2,0,0,0,0,62,2,992
1396537522,,,1,,0,0,0,1,0,7980
1461843831,,,1,,0,0,0,0,0,1168
1450296618,,,1,0,0,0,0,0,0,1415
1399421957,,,1,5,3,1,0,0,0,5866
1386850593,,,3,0,0,0,0,0,0,5524
2676266,,,1,,1,0,0,0,0,2503
1448850482,,,1,4,0,0,0,28,0,7584
1427942526,,,1,5,0,0,0,1,0,258
1407251627,,,1,5,2,0,0,17,0,7981
1141045968,不昧因果 一切都有因果 因果就在每天的生活中,,1,5,12,2,0,0,0,27304
1396752875,,,2,,0,0,0,0,0,1685
1418964083,,,1,5,0,0,2,22,0,2600
1420918408,从事刑事侦查工作，需要多方知识的涉猎，愿以掌握各类学科知识者为师，开阔个人视野，提高自身能力，为打击犯罪，保护人民群众的安宁和推进国家法治化进程和尽一份薄力。,,1,0,0,0,0,52,0,9227
1411419059,,,1,5,0,0,1,99,0,4179
1419324638,,,1,5,0,0,1,35,0,2650
1404965334,,,1,5,0,0,0,44,0,3241
1412230968,用知识来丰富人生。,,2,0,0,0,0,1,0,7789
1423856562,,,1,,0,0,1,24,0,728
1418964423,,,1,,0,0,0,11,0,2143
1412143356,相信，风雨之后肯定出现彩虹...,,1,5,1,0,0,61,0,3055
1404670443,,,1,,0,0,3,419,1,10172
1404626100,,,1,5,0,0,0,25,0,1324
1430623984,,,1,5,0,0,1,18,0,1472
1424697134,,,1,5,0,0,0,0,0,1100
1424632307,,,1,0,0,0,0,0,0,592
1399150093,好好学习，天天向上,,1,5,2,0,0,2,0,1949
1434093150,教师,,2,,0,1,6,88,1,3287
1433874230,小学教师,,2,0,0,0,9,115,0,3550
1408087134,,,2,0,1,0,2,66,0,16049
1431985435,小学数学教师,,2,,0,0,1,53,0,3081
1418346621,,,1,5,0,0,0,42,0,1896
1409399807,,,1,5,0,0,0,10,0,1606
1398964556,,,1,,0,0,0,9,0,1716
1146236896,,,1,0,0,0,0,0,0,8146
1410829074,中学教师,,2,,0,0,2,30,2,1364
1416516584,,,1,5,0,0,0,35,0,2278
1418214859,,,1,5,0,0,5,72,0,3433
1404691643,,,2,,0,0,0,30,6,3144
1150282244,,,2,,0,0,1,30,0,2588
1431278812,,,1,,0,0,0,36,0,568
1018243206,安德森as更让他,,1,0,0,1,1,188,5,26864
1431330374,,,1,5,0,0,4,135,0,7355
1420032314,教师,,2,0,0,0,1,1,0,1521
1402659285,,,1,0,0,0,0,83,0,5495
1402875134,以敬致远，以诚立信,,1,5,1,0,1,17,0,4983
1436370797,,,1,5,0,0,1,15,0,425
1024794878,,,2,,0,0,1,102,0,4194
1404914516,,,1,5,0,0,0,21,0,3895
1413212902,,,1,4,0,0,0,63,0,1017
1018507611,,,2,,1,0,4,445,0,14341
1416422126,,,1,0,0,0,1,20,0,1421
1434803800,,,2,0,0,0,2,80,0,2713
1434806963,,,2,,0,0,1,72,0,1330
1425547181,小学教师,,2,,0,0,0,72,1,2358
1430823604,,,2,0,0,0,2,9,0,2175
1408522899,,,1,5,0,0,1,8,0,1584
1422073162,,,1,6,0,0,0,0,0,5200
1397792312,,,2,0,0,0,0,26,0,5904
1416167156,,,1,,0,0,0,5,0,876
1136782149,,,1,5,0,0,2,49,2,1611
1430047186,,,1,0,0,0,0,97,0,2292
1404694385,,,2,,0,0,10,81,2,3703
1432688537,,,2,0,0,0,0,62,0,823
1411526567,,,,,0,0,3,27,0,2960
1386287240,,,1,5,0,0,0,20,0,1838
1384570689,,,2,,0,0,0,0,0,5000
1405443400,怕什么真理无穷，进一步，有进一步的欢喜。,,1,5,1,0,0,1,0,6373
1427569630,,,1,5,0,0,0,0,0,2136
1422399069,,,1,,0,0,0,22,0,736
1425325334,,,1,5,0,0,2,10,0,1439
1703119,,,2,0,0,0,1,785,2,56082
1397339164,,,2,0,0,0,0,1,0,4955
1417629505,,,1,,0,0,2,133,0,6473
1141546105,,,1,5,0,0,0,65,0,6160
1390627606,<p>首都医科大学应用语言学系教师，教授本科和研究生各层各类英语课程，授课年均300余学时，历年评教优秀。</p><p>本人主编教材3部，参编教材5部；负责1门医学英语慕课建设和运营，参加4门医学英语慕课制作。</p><p><br/></p>,1444545161,,,0,0,0,13,1,713
1420182441,,,1,0,2,2,3,431,18,15239
3785122,,,2,,0,0,3,58,6,3416
1149850268,,,1,0,0,0,9,83,3,8903
1414910676,,,1,,1,0,0,61,0,2406
1413573943,,,1,5,0,0,2,82,0,6431
1428143206,,,2,0,0,0,0,0,0,1805
1395578172,,,1,5,0,0,3,84,0,6062
1415224785,,,1,,0,0,0,2,0,3038
1148441476,,,1,0,0,0,0,0,0,1469
7739775,,,1,5,1,0,0,18,0,3150
1424572478,,,1,5,0,0,0,13,0,2871
1414600161,,,1,,0,0,1,18,0,2895
1412950794,,,1,,0,0,0,132,0,21009
1147265403,,,1,5,0,4,0,984,0,61144
1418247070,,,1,0,0,0,2,57,0,3477
1418776878,,,1,0,0,0,4,82,0,4913
1419908517,,,1,5,0,0,0,11,0,4853
1410478920,,,1,0,0,0,0,8,0,1239
1424198331,,,1,,0,0,0,24,0,2429
1396344177,,,1,,0,0,0,0,0,790
1415511195,<p>教育科学与音乐学院，教授心理学与学前教育相关课程</p>,1001262005,,,0,3,0,0,0,124
1412724162,,,2,0,0,0,0,0,0,1487
1140394015,,,2,,0,0,0,0,0,2908
1026152662,"人生需要更多的挑战。
刷新自己的生活。",,2,0,1,0,0,9,1,7298
1387807998,,,1,6,0,0,0,20,0,5191
1402013589,生活充满岔路口，天下没有免费的午餐。选择什么路，承担什么后果。,,2,0,0,0,1,39,0,3574
1399049465,"努力，再努力！
学无止境",,2,,0,0,1,0,0,898
1383277030,我叫孙金梅，来自东昌府区八甲刘中学,,2,,1,0,2,292,1,2958
1383797714,,,1,5,0,0,0,4,0,7949
1142250047,,,1,,2,0,4,2,0,10202
1401231313,,,1,6,2,0,1,6,0,14564
1407673668,玉林师范学院教务处教务科,,2,,0,0,0,1,0,2037
1398987126,,,1,0,0,0,0,0,0,764
1017959382,,,2,0,0,0,0,0,0,6462
1395747002,本人学校在职教师，从事数学教学工作。,,1,0,0,0,4,120,17,5646
1399543438,,,1,,0,0,1,15,0,1112
1402043984,我是个文科生，不知道为什么偏偏对心理学感兴趣！,,1,5,0,0,0,0,0,4047
2949670,目前在一个小学担任学校的心理老师，自学考取了南开大学的心理学在职研究生。心理学一直在持续学习中……,,2,,1,0,2,32,0,3582
1404689805,精神科医师,,1,0,2,0,0,0,0,3655
1403153287,,,1,3,0,0,0,0,0,3964
1025334489,,,2,0,1,0,3,62,4,2974
1402213306,,,1,5,0,0,0,6,0,488
1404779987,,,2,,0,0,0,0,0,746
1399147473,,,1,,0,0,0,16,0,689
1023960566,The word impossible is not in my dictionary,,1,,1,0,0,17,0,3466
1402653603,,,2,0,0,0,0,9,0,3659
1403193250,,,2,,0,0,0,40,1,3823
1405515320,,,2,,0,0,0,5,0,707
1403199421,薛秀云 河南省济源市北海三庄小学,,2,,0,0,1,10,2,1582
1404930615,,,2,,0,0,0,1,0,1756
1405266485,我叫党继霞，从参加工作以来，一直在一线任教。我忠诚党的教育，关心爱护学生，能以身作则，出色完成教学教育任务。不断学习，提升自身素养。,,2,,0,0,0,1,1,76
1404166544,陕西工商职业学院教师,,2,0,2,0,7,91,0,4147
1405046264,,,,,0,0,0,0,0,15
1404793277,,,2,,14,0,10,117,2,8785
1404858788,,,2,,0,0,3,21,0,1174
1404594233,,,2,,0,0,0,30,0,1873
1404529890,,,2,,0,0,15,67,0,4040
1404874911,,,2,,0,0,0,0,0,159
1404836620,,,1,0,0,0,0,1,0,491
1404548885,"张彩霞，女，身份证号码37252619720304204X
冠县梁堂镇闫村中心校教师",,2,,0,0,3,18,0,8222
1139675696,,,1,3,0,0,9,83,0,4282
1404705498,,,2,,0,0,0,18,0,1259
1387407784,,,1,5,0,0,0,14,0,608
1404464697,,,2,,0,0,4,6,1,1056
1404699880,,,,,0,0,1,3,0,115
1399098431,,,1,5,0,0,0,3,0,2522
1404611322,,,2,,0,0,0,0,0,0
1404610624,,,1,,0,0,0,0,0,4
1399546847,,,1,,1,0,1,13,0,597
1399466410,,,,,0,0,0,0,0,28
1399543524,,,1,,1,0,0,9,0,1549
1398398339,,,1,5,2,0,0,16,0,1154
1404454192,,,,,0,0,0,0,0,0
1398776800,,,1,,1,0,0,3,0,573
1404437344,,,2,0,0,0,0,1,0,1101
1399437230,,,1,0,0,0,0,0,0,66
11503193,,,2,0,0,0,6,117,14,25030
1401868989,,,1,4,0,0,0,0,0,2696
1401829378,,,,,0,0,0,1,0,764
1403521040,,,,,0,0,0,0,0,11
1034112458,,,1,5,2,0,0,0,0,4110
1398950530,,,1,5,2,0,1,10,0,2240
1385534493,,,2,,0,0,0,3,0,1508
1403752084,,,1,0,0,0,0,3,0,435
1403398638,本人武卫民出生在安阳市内黄县东庄镇南流河村，学历大专。于1984年4月在濮阳市白条河农工商总公司学校任教，又于2012年10月归内黄县教体局后河中心校任教至今。,,2,,0,0,11,19,9,1247
1402193276,,,1,,0,0,0,13,0,595
11743089,,,1,0,0,0,0,1,0,1542
1402108324,,,2,0,0,0,0,36,0,1792
1399510273,,,1,6,0,0,0,19,0,4107
1401206258,,,2,0,1,0,0,0,0,638
5941651,,,2,0,0,0,2,13,1,6266
8370161,,,2,,0,2,0,24,0,1955
1034492548,,,1,4,0,0,0,0,0,396
1148720844,,,2,,0,1,3,73,2,2546
1411202523,,,1,4,0,0,0,0,0,1065
1386375617,学习永无止境,,2,,0,0,1,23,0,1258
1484309029,,,3,0,0,0,0,0,0,121
1389376619,,,2,0,0,1,0,0,0,693
1385185286,,,1,0,0,0,0,0,0,1288
5518322,GCDF全球职业规划师、青少年成长指导师，从事职业规划咨询11年，咨询师督导5年，HR管理26年。咨询风格亲切，擅于逐层剥开复杂问题，让来访者体会深刻，影响深远,,2,,0,0,0,4,0,943
1496265308,,,1,4,0,0,0,0,0,379
1412822450,"如果生活充满苟且
那我就以粉身碎骨来挑战生活",,2,0,0,0,0,1,0,4716
1025016913,,,1,6,0,0,0,0,0,1222
1145660649,,,2,,0,0,0,73,0,903
1384682136,,,2,0,1,0,0,183,0,22708
1150662036,保密,,1,5,0,0,0,27,0,3854
1019994827,敏而静,,1,5,1,3,0,10,3,7636
1409484808,,,1,0,0,0,0,2,0,4030
1402865354,,,1,,0,0,0,0,0,0
1402615284,,,1,0,1,1,11,36,0,1918
1498456837,,,2,0,0,0,0,0,0,1180
1404868936,,,,,0,0,1,4,0,124
1465892269,,,1,,0,0,2,1,0,629
1399241386,,,1,0,0,0,0,2,0,241
1412487624,,,1,0,0,0,0,5,0,187
1387411793,,,2,,0,0,1,50,4,1967
1404794091,,,2,0,0,0,4,7,1,6630
1151437264,,,3,,0,0,0,9,0,1304
1409312263,,,3,0,0,0,2,72,1,14713
1402644300,,,1,0,0,0,0,45,0,11509
1402615109,,,1,0,1,1,7,23,0,1154
1146848812,,,1,3,0,0,0,22,0,4979
1389121899,,,,,0,0,0,0,0,3
1140118937,,,1,6,0,0,0,0,0,20468
1027204407,,,3,,0,0,2,58,5,3223
1030953834,,,2,,0,0,0,0,0,3768
7986053,沉默是金,,1,5,18,3,3,49,15,4384
1485673516,,,3,0,1,0,1,29,0,2394
1489791016,,,2,0,0,0,0,0,0,0
